新浪,SINA
港交所,HKXCY
恒基兆业,HLDCY
恒基兆业,HLDVF
恒隆地产,HLPPY
美兰股份,HMCTF
恒隆集团,HNLGF
恒隆集团,HNLGY
煤气公司,HOKCY
嘉周化工,CHCC
合和实业,HOWWY
中国3C集,CHCG
盛棵再生,SRRY
中国数字,CHDA
环球教育,HQGE
数码通,STTFY
海尔,HRELF
新鸿基,SUHJY
M&H石油,CHDP
长实,CHEUY
太古,SWRAY
海尔,HRELY
玉同药业,SYUP
恒生银行,HSNGY
家庭系统,HSYT
搜三百,SOUG
日立建机,HTCMY
华宝国际,HUABF
华宝国际,HUIHY
惠影科技,HUIY
希慎兴业,HYSNY
工商银行,IDCBF
工商银行,IDCBY
华北园艺,IDCX
情报系统,IICN
意马,IINHY
天祥集团,IKTSY
信义玻璃,XYIGY
青岛啤酒,TSGTY
中国多肽,CHPN
中国太保,CHPXY
中国无线,CHWTF
健康产业,CHHE
康哲药业,CHSY
中国建设,CICHY
中汇道明,ZHDM
沪杭甬高,ZHEXF
中海集装,CITAY
兆恒水电,ZHYLF
中国远洋,CICOY
中粮,CIDHY
中国传动,CHSTY
协同教学,CIVN
中渔集团,CIFHY
常达国际,CIHD
招商银行,CIHKY
紫金矿业,ZIJMF
中国有机,CHOR
中联重科,ZLIOY
中兴通讯,ZTCOF
中国卫生,CHLBF
中国工业,CIWT
紫阳陶瓷,ZYCI
古今通宝,TAAI
腾讯,TCEHY
创业环保,TCEPY
康师傅,TCYMF
康太仙人,CKGT
圣火药业,CKUN
山东威高,SHWGY
深圳高速,SHZNY
晨讯科技,SIMTF
东方海外,OROVY
腾讯,TCTZF
康师傅,TCYMY
上海电气,SIELY
远洋地产,SIOLY
信利国际,TRUHF
太古,SWRBY
奥盛技术,ORSX
太平洋宝,PBEP
中基建,CHNC
平安保险,PIAIF
百盛商业,PKSGY
坤伦文化,KSTV
奥思集团,WOSSF
韦斯特加,WSYS
信德燃喷,WTFS
北京物美,WUMSF
旺旺中国,WWNTF
永利澳门,WYNMF
沪杭甬高,ZHEXY
紫金矿业,ZIJMY
中兴通讯,ZTCOY
北京物美,WUMSY
旺旺中国,WWNTY
永利澳门,WYNMY
文化东方,MNOIY
来宝集团,NOBGY
龙源电力,CLPXY
民生银行,CMAKY
中国M161,CMNW
平安保险,PNGAY
中国新能,CNER
国泰航空,CPCAY
中房发展,CPDV
卜蜂国际,CPKPF
华润,CRHKY
呈辉置业,CRHO
润基水泥,CRJI
瑞泰国际,CRUI
中海油服,CHOLY
中海油服,CHOLF
中国中铁,CRWOY
中海发展,CSDXY
源畅光电,CSEHY
大连新阳,CSGH
双吉水泥,CSGJ
兴天下,CSKD
福建中德,CCGY
曹普工艺,CSNH
德利国际,CSOL
中国南车,CSRGY
中国神华,CSUAY
森宇国际,CSWG
神威药业,CSWYY
新兴佳,CTEK
中拖,CTHL
中信泰富,CTPCY
中国旅游,CTVZ
卜蜂国际,CPKPY
华野燃气,HUAZ
中煤能源,CCOZY
中煤能源,CCOZF
中国生物,CDBH
甘肃大圣,CDBT
中国动向,CDGXF
东升伟业,CDSG
中国国航,AIRYY
中国银行,BACHF
华晨中国,BCAUF
东亚银行,BKEAF
中国建设,CICHF
比亚迪,BYDDY
达芙妮集,DPNEY
徳爱尔羊,DRCR
太阳禽业,DUKS
东信生物,DXIN
东方安防,EAST
亿丰环境,EESC
e-KONG集,EKONY
大连础明,ENHD
思捷环球,ESPGY
飞鹰塑胶,FEPU
第一拖拉,FIRRY
FLM矿业,FLMS
第一太平,FPAFF
富士康控,FXCNY
粤海投资,GGDVY
金马国际,GHII
云顶新加,GIGNF
云顶新加,GIGNY
金卫医疗,GMDTF
金象玻璃,GOEG
环球医药,GPHG
中威盛世,GTVI
长城汽车,GWLLY
银河娱乐,GXYEF
银河娱乐,GXYEY
广州药业,GZPHY
广州富力,GZUHY
恒基兆业,HDVTY
恒安国际,HEGIF
恒安国际,HEGIY
第一太平,FPAFY
维特奥健,CVPH
中国风电,CWPWF
中国铁建,CWYCY
超英生物,CYDI
海逸风传,CYHM
永春堂,CYIG
东莞饰纸,DCRD
三俊电池,DFEL
牛奶国际,DFIHY
大东南,DGDH
多元环球,DGWIY
百花洲实,DION
大唐发电,DIPGY
东科药业,DKSP
东风汽车,DNFGF
东盛医药,DNGH
达芙妮集,DPNEF
东风汽车,DNFGY
兰亭集势,LITB
平潭海洋,PME
鲈乡小贷,CCCR
58同城,WUBA
500彩票,WBAI
汽车之家,ATHM
AMC院线,AMC
诺华家具,NVFY
微博,WB
达内科技,TEDU
乐居,LEJU
爱康国宾,KANG
京东,JD
途牛,TOUR
猎豹移动,CMCM
祥天控股,GOAS
聚美优品,JMEI
智联招聘,ZPIN
迅雷,XNET
阿里巴巴,BABA
天华阳光,SKYS
一嗨租车,EHIC
陌陌,MOMO
钜派,JP
宜人贷,YRD
百济神州,BGNE
银科控股,YIN
无忧英语,COE
众美联,JMU
国双科技,GSUM
中国贷款,CLDC
中通,ZTO
微软,MSFT
雅虎,YHOO
谷歌,GOOG
eBay,EBAY
亚马逊,AMZN
英特尔,INTC
苹果,AAPL
诺基亚,NOK
爱立信,ERIC
Adobe,ADBE
IBM,IBM
德州仪器,TXN
思科,CSCO
美国电话,T
沃达丰,VOD
希捷,STX
甲骨文,ORCL
高通,QCOM
斯普林特,S
易安信,EMC
高知特,CTSH
威讯,VZ
阿利根尼,ATI
NetSuite,N
惠普,HPQ
AMD,AMD
英伟达,NVDA
SAP,SAP
宝利通,PLCM
阿克迈,AKAM
摩托罗拉,MSI
摩移动,MMI
领英,LNKD
Yandex,YNDX
GroupOn,GRPN
Zynga,ZNGA
Facebook,FB
索尼,SNE
日本电报,NTT
孟山都,MON
埃森哲,ACN
奈飞,NFLX
威睿,VMW
泰勒科技,TYL
美信集成,MXIM
瞻博网络,JNPR
思杰系统,CTXS
易昆尼克,EQIX
红帽,RHT
电话数据,TDS
科磊,KLAC
Yelp,YELP
赛灵思,XLNX
赛富时,CRM
太阳城,SCTY
捷普,JBL
美国网存,NTAP
赛门铁克,SYMC
Axcelis,ACLS
康宁,GLW
AECOM,ACM
泰瑞达,TER
猫途鹰,TRIP
现在服务,NOW
威瑞信,VRSN
NTT道康,DCM
微芯科技,MCHP
欧特克,ADSK
艾斯本,AZPN
艾利斯,ARRS
微妙通讯,NUAN
阿克西鄂,ACXM
ASCENT资,ASCMA
F5网络,FFIV
博科,BRCD
美国塞纳,CERN
电子艺界,EA
财捷,INTU
动视暴雪,ATVI
回声星通,SATS
克里科技,CREE
天宝导航,TRMB
Stratasy,SSYS
大西洋电,ATNI
应用材料,AMAT
工时公司,WDAY
AVG科技,AVG
游戏科技,IGT
天睿,TDC
西部数据,WDC
Cepheid,CPHD
Syntel,SYNT
林氏研究,LRCX
联合电脑,CA
飞塔信息,FTNT
铿腾电子,CDNS
3D系统,DDD
康沃系统,CVLT
亚德诺,ADI
边际通信,FTR
凌力尔特,LLTC
厄比奎蒂,UBNT
FEI公司,FEIC
施乐,XRX
艾睿,ARW
思捷思,CSC
Medidata,MDSO
美国新星,NSR
安费诺,APH
美光,MU
杜比,DLB
黑莓,BBRY
推特,TWTR
敏捷存储,NMBL
任天堂,NTDOY
贝宝,PYPL
Snap,SNAP
高盛,GS
花旗,C
美国银行,BAC
摩根大通,JPM
摩根士丹,MS
美国国际,AIG
大都会人,MET
万事达,MA
维萨卡,V
富国银行,WFC
伯克希尔,BRK.A
地区金融,RF
纽约梅隆,BK
美国运通,AXP
信诺,CI
合众银行,USB
第一资本,COF
好事达,ALL
哈特福德,HIG
旅行者财,TRV
三菱日联,MTU
瑞穗金融,MFG
三井住友,SMFG
野村控股,NMR
西蒙地产,SPG
道夫金融,AF
一线国民,FHN
ARMOUR住,ARR
黑石,BX
嘉盛集团,GCAP
艾姆斯,ATLO
锡安银行,ZION
联信,CMA
阿斯塔,ASFI
联邦投资,FII
辛市金融,CINF
美国国家,AMNB
伯克希尔,BRK.B
LendingC,LC
百事可乐,PEP
强生,JNJ
辉瑞,PFE
可口可乐,KO
美敦力,MDT
施贵宝,BMY
奥驰亚,MO
联合健康,UNH
默沙东,MRK
安进,AMGN
CVS健保,CVS
百特国际,BAX
雅培,ABT
星巴克,SBUX
康宝浓汤,CPB
麦当劳,MCD
罗氏制药,RHHBY
葛兰素史,GSK
百胜餐饮,YUM
吉利德,GILD
亿滋,MDLZ
快捷药方,ESRX
Atrion公,ATRI
阿里那,ARNA
艾琪尔顿,ACHN
ALPHATEC,ATEC
雅典娜,ATHN
讴歌制药,ACUR
安塔尔,ATRS
阿莫斯特,AFAM
Aegerion,AEGR
爱贝斯公,ABAX
Array生,ARRY
AVEO制药,AVEO
阿里阿德,ARIA
康宝莱,HLF
瓦伦特制,VRX
艾尔建,AGN
AtriCure,ATRC
布朗霍文,BF.B
布朗霍文,BF.A
百胜中国,YUMC
新闻集团,NWS
汤姆逊-,TRI
时代华纳,TWX
迪士尼,DIS
清晰频道,CCU
哥伦比亚,CBS
康卡斯特,CMCSA
新闻集团,NWSA
潘多拉媒,P
通用汽车,GM
福特汽车,F
埃克森美,XOM
康菲石油,COP
力拓,RIO
卡特彼勒,CAT
杜克能源,DUK
哈里伯顿,HAL
斯伦贝谢,SLB
爱依斯,AES
威廉姆斯,WMB
贝克休斯,BHI
美国南方,SO
安特吉,ETR
艾斯能,EXC
美国电力,AEP
雪佛龙,CVX
英国石油,BP
本田汽车,HMC
丰田汽车,TM
联合太平,UNP
拱煤公司,ACIM
赫佩公司,HP
特斯拉,TSLA
阿维斯塔,AVA
AeroViro,AVAV
先进能源,AEIS
艾伦建材,AAON
自流资源,ARTNA
ATMOS能,ATO
美国DG能,ADGE
桑普拉能,SRE
壳牌石油,RDS.A
壳牌石油,RDS.B
菲亚特克,FCAU
法拉利,RACE
通用电气,GE
耐克,NKE
沃尔玛,WMT
宝洁,PG
波音,BA
陶氏化学,DOW
通用动力,GD
霍尼韦尔,HON
雷神,RTN
3M,MMM
雅诗兰黛,EL
雅芳,AVP
高露洁,CL
家得宝,HD
联邦快递,FDX
罗克韦尔,ROK
阿波罗,APOL
国际纸业,IP
塔吉特,TGT
诺福克南,NSC
惠好,WY
泰科国际,TYC
联合技术,UTX
杜邦,DD
美国铝业,AA
希尔顿酒,HLT
巴恩斯,B
佳能,CAJ
日本京瓷,KYO
好市多,COST
Ascena,ASNA
安德玛,UA
Astronic,ATRO
雅固拉,ACW
必乐透,BIG
哈雷摩托,HOG
实用动力,ATU
Astec实,ASTE
美国先锋,AVD
美国科工,ASEI
Atwood海,ATW
同意房产,ADC
美鹰服饰,AEO
亚什兰,ASH
爱芬奇,ANF
战神房产,ACRE
彭尼百货,JCP
Aptar,ATR
孩之宝,HAS
加拿大鹅,GOOS
3X多能源,ERX
标普ETF,SPY
道指ETF,DIA
能源ETF,XLE
金融ETF,XLF
健保ETF,XLV
工业ETF,XLI
材料ETF,XLB
电信ETF,IYZ
油价ETF,USO
气价ETF,UNG
金价ETF,GLD
3X空金融,FAZ
3X多金融,FAS
2X空标普,SDS
2X多标普,SSO
纳百ETF,QQQ
富时中股,FXI
英镑ETF,FXB
欧元ETF,FXE
三倍做多,YINN
Velocity,TVIX
3X多金矿,NUGT
中创100,CNXT
中国高级,CBON
find security_id=206158 for 新浪 usSINA
find security_id=201532 for 搜狐 usSOHU
find security_id=201088 for 网易 usNTES
find security_id=205354 for 百度 usBIDU
find security_id=202374 for 第九城市 usNCTY
find no security_id for usKZ
find security_id=201382 for 金融界 usJRJC
find security_id=201250 for 携程网 usCTRP
find security_id=202444 for 前程无忧 usJOBS
find security_id=201527 for UT斯达康 usUTSI
find security_id=205648 for 泰克飞石 usCNTF
find security_id=202354 for 中芯国际 usSMI
find no security_id for usACTS
find security_id=201034 for 新东方 usEDU
find no security_id for usVISN
find security_id=205527 for 航美传媒 usAMCN
find security_id=201141 for 中国铝业 usACH
find security_id=206454 for 中海油 usCEO
find security_id=202874 for 玉柴国际 usCYD
find security_id=202411 for 广深铁路 usGSH
find security_id=201404 for 中国移动 usCHL
find security_id=206678 for 中国人寿 usLFC
find security_id=206158 for 新浪 usSINA
find security_id=201532 for 搜狐 usSOHU
find security_id=201088 for 网易 usNTES
find security_id=205354 for 百度 usBIDU
find security_id=202374 for 第九城市 usNCTY
find no security_id for usKZ
find security_id=201382 for 金融界 usJRJC
find security_id=201250 for 携程网 usCTRP
find security_id=202444 for 前程无忧 usJOBS
find security_id=201527 for UT斯达康 usUTSI
find security_id=205648 for 泰克飞石 usCNTF
find security_id=202354 for 中芯国际 usSMI
find no security_id for usACTS
find security_id=201034 for 新东方 usEDU
find no security_id for usVISN
find security_id=205527 for 航美传媒 usAMCN
find security_id=201141 for 中国铝业 usACH
find security_id=206454 for 中海油 usCEO
find security_id=202874 for 玉柴国际 usCYD
find security_id=202411 for 广深铁路 usGSH
find security_id=201404 for 中国移动 usCHL
find security_id=206678 for 中国人寿 usLFC
find security_id=205352 for SORL汽车零部件公司 usSORL
find security_id=201236 for 中国电信 usCHA
find security_id=205685 for 中石化 usSNP
find security_id=206577 for 上石化 usSHI
find security_id=203180 for 兖州煤业 usYZC
find security_id=201654 for 东方航空 usCEA
find no security_id for usEFUT
find security_id=206307 for 华能电力 usHNP
find security_id=202600 for 南方航空 usZNH
find security_id=201085 for 阿特斯太阳能 usCSIQ
find security_id=201657 for 比克电池 usCBAK
find security_id=201747 for 中汽系统 usCAAS
find security_id=203224 for 中国天然资源 usCHNR
find no security_id for usNDAC
find security_id=206045 for 富维薄膜 usFFHL
find no security_id for usNTE
find security_id=202667 for 正保远程教育 usDL
find no security_id for usSTV
find security_id=202618 for 鑫苑置业 usXIN
find security_id=206215 for 橡果国际 usATV
find security_id=201526 for 昱辉阳光 usSOL
find no security_id for usTSL
find security_id=202846 for 英利绿色能源 usYGE
find no security_id for usCISG
find security_id=205403 for 奇景光电 usHIMX
find security_id=201509 for 晶澳太阳能 usJASO
find security_id=203099 for 凹凸科技 usOIIM
find security_id=202128 for 慧荣科技 usSIMO
find security_id=201942 for 中石油 usPTR
find security_id=201209 for 中国联通(香港) usCHU
find security_id=202432 for 日月光半导体 usASX
find security_id=202665 for 友达光电 usAUO
find security_id=202020 for 台积电 usTSM
find security_id=205595 for 联电 usUMC
find security_id=206783 for 矽品 usSPIL
find security_id=206090 for 和信超媒体公司 usGIGM
find security_id=201125 for 畅游 usCYOU
find security_id=201799 for 汉庭 usHTHT
find security_id=206672 for 中华电信 usCHT
find no security_id for usSYUT
find no security_id for usCCGM
find security_id=201130 for 搜房网 usSFUN
find no security_id for usDYNP
find security_id=201251 for 蓝汛 usCCIH
find security_id=202156 for 诺亚财富 usNOAH
find security_id=201031 for 易车网 usBITA
find security_id=205073 for 希尼亚 usXNY
find security_id=201262 for 康迪车业 usKNDI
find security_id=202607 for 中网在线 usCNET
find security_id=205617 for ATA公司 usATAI
find no security_id for usLIWA
find security_id=206620 for 山东昱合 usYUII
find no security_id for usHEAT
find no security_id for usTXIC
find security_id=201134 for 晶科能源 usJKS
find no security_id for usRINO
find security_id=201417 for 大全新能源 usDQ
find no security_id for usCRTP
find no security_id for usCHBT
find security_id=201314 for 汉广厦房地产 usHGSH
find security_id=201338 for 奥瑞金种业 usSEED
find no security_id for usBEST
find no security_id for usWATG
find no security_id for usCCME
find no security_id for usFUQI
find security_id=202460 for 环球资源 usGSOL
find security_id=206054 for 海湾资源 usGURE
find no security_id for usCAST
find security_id=202376 for 新奥混凝土 usCADC
find security_id=203483 for JF中国基金 usJFC
find security_id=201651 for 武汉通用 usWUHN
find no security_id for usFEED
find security_id=205804 for 中国脐带血库 usCO
find security_id=206035 for 研控科技 usRCON
find no security_id for usABAT
find security_id=201184 for 和利时自动化 usHOLI
find security_id=201064 for 联合信息 usKONE
find security_id=206165 for 天人果汁 usSPU
find no security_id for usCIIC
find security_id=202922 for 中国医药控股有限公司 usCPHI
find no security_id for usAPWR
find security_id=206588 for 盈丰科技 usCREG
find security_id=203454 for 中环球船务 usSINO
find no security_id for usJGBO
find no security_id for usCHNG
find no security_id for usSCEI
find security_id=201078 for 中国风能技术 usCLNT
find no security_id for usCHIO
find security_id=202021 for 鑫达集团 usCXDC
find no security_id for usCELM
find security_id=201340 for 九洲大药房 usCJJD
find security_id=201835 for 泰和诚医疗 usCCM
find no security_id for usSBAY
find security_id=206347 for 绿润集团 usALN
find security_id=201074 for 奥星制药 usBSPM
find no security_id for usCDII
find security_id=205970 for 中国汽车物流 usCALI
find security_id=206540 for 科兴生物 usSVA
find security_id=205632 for 中国绿色农业 usCGA
find no security_id for usVALV
find no security_id for usNOEC
find security_id=201494 for 博润 usBORN
find security_id=206260 for 东方纸业 usONP
find security_id=201092 for 奥盛创新 usOSN
find security_id=201077 for 世纪互联 usVNET
find security_id=205442 for 人人网 usRENN
find security_id=203009 for 网秦 usNQ
find security_id=201177 for 凤凰新媒体 usFENG
find security_id=205502 for 正兴集团 usZX
find security_id=206115 for 中国信息技术 usCNIT
find security_id=201274 for 唯品会 usVIPS
find security_id=206804 for 欢聚时代 usYY
find security_id=201042 for 香港德卫集团 usDSWL
find no security_id for usAAAE
find security_id=208989 for 亚太电线电缆股份有限公司 usAPWC
find security_id=202418 for 百慕达南茂科技股份有限公司 usIMOS
find no security_id for usAACAY
find no security_id for usACGBY
find no security_id for usAGVO
find no security_id for usAHCHY
find no security_id for usAICAF
find no security_id for usAIDA
find no security_id for usAIVI
find no security_id for usAKRK
find no security_id for usALMMF
find no security_id for usAMVGF
find no security_id for usANGGY
find no security_id for usCMFO
find no security_id for usAMCG
find no security_id for usAMGY
find security_id=206262 for 豪鹏国际 usHPJ
find security_id=203823 for 旭明光电股份有限公司 usLEDS
find no security_id for usARTB
find no security_id for usBACHY
find no security_id for usBCAUY
find no security_id for usBCHM
find no security_id for usBCMXY
find no security_id for usBDEV
find security_id=201239 for 恒异电子国际公司 usBNSO
find security_id=208417 for 江苏华瑞服装有限公司 usEVK
find no security_id for usNEWN
find no security_id for usCNR
find security_id=209138 for 亚洲娱乐博彩公司 usEGT
find no security_id for usBEER
find no security_id for usBEIJF
find no security_id for usBELLY
find no security_id for usBFAR
find no security_id for usBHKLY
find no security_id for usBJCHF
find no security_id for usBJINY
find no security_id for usBKEAY
find security_id=203100 for 上为集团 usSGOC
find security_id=201065 for 欧陆科仪控股有限公司 usCLWT
find no security_id for usBOTRF
find no security_id for usBOTX
find no security_id for usBSDGY
find no security_id for usBSHG
find security_id=209033 for 晶立传媒 usIDI
find no security_id for usBYDDF
find no security_id for us中国
find no security_id for usCABLF
find no security_id for usCAGM
find security_id=202963 for 公路控股有限公司 usHIHO
find security_id=205724 for 金凰珠宝 usKGJI
find security_id=202704 for 能发伟业 usNFEC
find security_id=201153 for 新濠博亚娱乐 usMPEL
find no security_id for usCAOVY
find no security_id for usCARCY
find no security_id for usCASDY
find no security_id for usCBEH
find no security_id for usCBGH
find no security_id for usCBLUY
find no security_id for usCBUMY
find no security_id for usCBRAF
find security_id=201771 for 塞斯潘 usSSW
find no security_id for usCCCGY
find no security_id for usJMHLY
find security_id=201129 for 泰邦生物 usCBPO
find no security_id for usXHFNF
find no security_id for usHGHN
find no security_id for usJPAK
find no security_id for usHGKGY
find no security_id for usKEYP
find no security_id for usHHGM
find no security_id for usKMSWF
find no security_id for usHIGR
find no security_id for usXNFHF
find no security_id for usHIIDY
find no security_id for usXNGSY
find no security_id for usXSELY
find no security_id for usXYIGF
find no security_id for usHKAEY
find no security_id for usYINGY
find no security_id for usYIPCF
find no security_id for usJADA
find no security_id for usYYINE
find no security_id for usKRYPY
find no security_id for usZHAOF
find no security_id for usPPCCY
find no security_id for usJELCY
find no security_id for usHKXCF
find no security_id for usPSGP
find no security_id for usQING
find no security_id for usKURU
find no security_id for usRDBO
find no security_id for usRNFU
find no security_id for usRNHEF
find no security_id for usJEXYF
find no security_id for usSEXHF
find no security_id for usKWHAY
find no security_id for usJEXYY
find no security_id for usSGHIY
find no security_id for usJIXAY
find no security_id for usSHALY
find no security_id for usLEGE
find no security_id for usSHANF
find no security_id for usSHGXY
find no security_id for us香
find no security_id for usLKHLY
find no security_id for usSHTDF
find no security_id for usSHTGY
find no security_id for usTRUHY
find no security_id for usTSGTF
find no security_id for usTSYHY
find no security_id for usTTNDY
find no security_id for usXNWU
find no security_id for usLMPMY
find no security_id for usLTUS
find no security_id for usMAANF
find no security_id for usMAORF
find no security_id for usMLLUY
find no security_id for usNANI
find no security_id for usTVBCY
find no security_id for usCEVIY
find no security_id for usTXNM
find no security_id for usNIVS
find no security_id for usUOLI
find no security_id for usCHME
find no security_id for usNOBGF
find security_id=206415 for 中国陶瓷 usCCCL
find no security_id for usWGHGY
find no security_id for usVTSYF
find no security_id for usNWRLY
find no security_id for usSLUXY
find no security_id for usSLVA
find no security_id for usSNAS
find no security_id for usSNFRY
find no security_id for usSNLAY
find no security_id for usOPEI
find no security_id for usUIBGF
find no security_id for usWGLD
find no security_id for usHKXCY
find no security_id for usHLDCY
find no security_id for usHLDVF
find no security_id for usHLPPY
find no security_id for usHMCTF
find no security_id for usHNLGF
find no security_id for usHNLGY
find no security_id for usHOKCY
find no security_id for usCHCC
find no security_id for usHOWWY
find no security_id for usCHCG
find no security_id for usSRRY
find no security_id for usCHDA
find no security_id for usHQGE
find no security_id for usSTTFY
find no security_id for usHRELF
find no security_id for usSUHJY
find no security_id for usCHDP
find no security_id for usCHEUY
find no security_id for usSWRAY
find no security_id for usHRELY
find no security_id for usSYUP
find no security_id for usHSNGY
find no security_id for usHSYT
find no security_id for usSOUG
find no security_id for usHTCMY
find no security_id for usHUABF
find no security_id for usHUIHY
find no security_id for usHUIY
find no security_id for usHYSNY
find no security_id for usIDCBF
find no security_id for usIDCBY
find no security_id for usIDCX
find no security_id for usIICN
find no security_id for usIINHY
find no security_id for usIKTSY
find no security_id for usXYIGY
find no security_id for usTSGTY
find no security_id for usCHPN
find no security_id for usCHPXY
find no security_id for usCHWTF
find no security_id for usCHHE
